id,Product,Optimized Price,Optimized Revenue
6,12 PENCILS SMALL TUBE RED RETROSPOT,0.55,107.80000000000001
7,12 PENCILS SMALL TUBE SKULL,0.55,156.20000000000002
52,50'S CHRISTMAS GIFT BAG LARGE,1.04,416.0
53,50'S CHRISTMAS PAPER GIFT BAG,0.72,144.0
54,50CM METAL STRING WITH  7 CLIPS,0.68,97.92
57,6 GIFT TAGS 50'S CHRISTMAS,0.72,155.51999999999998
64,60 CAKE CASES VINTAGE CHRISTMAS,0.42,68.03999999999999
65,60 TEATIME FAIRY CAKE CASES,0.4,126.28345221720761
66,6PC WOOD PLATE SET DISPOSABLE,1.04,312.0
68,72 SWEETHEART FAIRY CAKE CASES,0.4,177.40230141392362
75,AFGHAN SLIPPER SOCK PAIR,2.95,590.0
88,ALARM CLOCK BAKELIKE RED,2.99,1276.9077359031903
91,ANGEL DECORATION 3 BUTTONS,0.36,155.51999999999998
110,ASS DES PHONE SPONGE CRAFT STICKER,0.152222222222222,8.39953816820287
114,ASSORTED CIRCULAR MOBILE,0.18,43.199999999999996
115,ASSORTED COLOUR BIRD ORNAMENT,1.45,374.40851063829814
118,ASSORTED COLOUR T-LIGHT HOLDER,0.55,166.75604854078392
119,ASSORTED COLOURS SILK FAN,0.596666666666667,357.21836454078533
121,"ASSORTED FLOWER COLOUR ""LEIS""",0.42,226.79999999999998
123,ASSORTED LAQUERED INCENSE HOLDERS,0.17,119.85000000000001
126,ASSORTED SHAPES PHOTO CLIP SILVER,0.42,120.96
133,ASSTD DESIGN RACING CAR PEN,1.27,259.96411877637917
137,BAG 125g SWIRLY MARBLES,0.27,156.45359017694892
152,BALLOON WATER BOMB PACK OF 35,0.36,222.59999999999988
155,BASKET OF FLOWERS SEWING KIT,0.64,163.48691173617345
156,BASKET OF TOADSTOOLS,1.06,432.48
177,BICYCLE PUNCTURE REPAIR KIT,1.85444444444444,726.4955323332512
202,BLACK HEART CARD HOLDER,2.31,498.1126483207413
239,BLUE HARMONICA IN BOX,1.06,195.7051997369575
265,BLUE SPOT CERAMIC DRAWER KNOB,0.85,155.8183276981803
269,BLUE VICTORIAN FABRIC OVAL BOX,0.29,104.39999999999999
293,BROCADE RING PURSE,0.16,85.65183467158433
297,BUBBLEGUM RING ASSORTED,0.36,62.80004879354088
378,CERAMIC STRAWBERRY MONEY BOX,2.25,459.0
424,CHILLI LIGHTS,3.82,985.5448859820942
425,CHINESE DRAGON PAPER LANTERNS,1.14333333333333,242.0920781257071
432,CHOCOLATE THIS WAY METAL SIGN,1.48,292.5974270199827
446,CHRISTMAS LIGHTS 10 REINDEER,6.5,1629.4288775347961
454,CHRISTMAS RETROSPOT ANGEL WOOD,0.72,163.9263932425951
