id,Product,Original Price,Original Revenue
1,10 COLOUR SPACEBOY PEN,1.63,3.1766437976623108
2,12 COLOURED PARTY BALLOONS,1.25,1.25
3,12 EGG HOUSE PAINTED WOOD,24.96,49.92
4,12 MESSAGE CARDS WITH ENVELOPES,1.65,9.508011049723757
5,12 PENCIL SMALL TUBE WOODLAND,1.25,7.562612496813875
8,12 PENCILS TALL TUBE POSY,0.85,3.683333333333331
9,12 PENCILS TALL TUBE RED RETROSPOT,0.85,7.9792792792792815
10,12 PENCILS TALL TUBE SKULLS,0.85,7.44742990654206
11,15CM CHRISTMAS GLASS BALL 20 LIGHTS,7.95,25.611377245509026
12,16 PIECE CUTLERY SET PANTRY DESIGN,15.95,42.53333333333339
13,18PC WOODEN CUTLERY SET DISPOSABLE,1.25,13.382352941176501
14,20 DOLLY PEGS RETROSPOT,1.45,7.19321711755043
15,200 BENDY SKULL STRAWS,1.25,4.2361111111111125
16,200 RED + WHITE BENDY STRAWS,1.25,3.832547169811325
17,3 DRAWER ANTIQUE WHITE WOOD CABINET,16.63,16.463471843757578
18,3 GARDENIA MORRIS BOXED CANDLES,8.29,8.102352336759155
19,3 HEARTS HANGING DECORATION RUSTIC,5.79,5.403125394755441
20,3 HOOK HANGER MAGIC GARDEN,1.95,10.237499999999999
21,3 HOOK PHOTO SHELF ANTIQUE WHITE,8.5,10.840713568375534
22,3 PIECE SPACEBOY COOKIE CUTTER SET,4.13,5.113399975630115
23,3 RAFFIA RIBBONS 50'S CHRISTMAS,2.08,27.98545454545464
24,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,2.08,24.96
25,3 ROSE MORRIS BOXED CANDLES,8.29,14.300103187679868
26,3 STRIPEY MICE FELTCRAFT,4.13,8.101859161159775
27,3 TIER CAKE TIN GREEN AND CREAM,29.13,27.09504974851288
28,3 TIER CAKE TIN RED AND CREAM,29.13,27.170167552897556
29,3 TIER SWEETHEART GARDEN SHELF,35.95,38.94583333333321
30,3 TRADITIONAl BISCUIT CUTTERS  SET,4.13,5.425398169927284
31,3 WHITE CHOC MORRIS BOXED CANDLES,8.29,17.962251472842677
32,36 DOILIES VINTAGE CHRISTMAS,1.45,23.585971223021566
33,36 FOIL HEART CAKE CASES,4.13,4.529986499516346
34,36 FOIL STAR CAKE CASES,2.1,33.55084756854453
35,3D CHRISTMAS STAMPS STICKERS,2.46,8.746666666666677
